year,catch,species,scientific_name,english_name
1950,0,DOT,Gymnosarda unicolor,Dogtooth tuna
1951,3,DOT,Gymnosarda unicolor,Dogtooth tuna
1952,3,DOT,Gymnosarda unicolor,Dogtooth tuna
1953,3,DOT,Gymnosarda unicolor,Dogtooth tuna
1954,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1955,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1956,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1957,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1958,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1959,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1960,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1961,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1962,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1963,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1964,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1965,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1966,6,DOT,Gymnosarda unicolor,Dogtooth tuna
1967,6,DOT,Gymnosarda unicolor,Dogtooth tuna
1968,6,DOT,Gymnosarda unicolor,Dogtooth tuna
1969,7,DOT,Gymnosarda unicolor,Dogtooth tuna
1970,188,DOT,Gymnosarda unicolor,Dogtooth tuna
1971,100,DOT,Gymnosarda unicolor,Dogtooth tuna
1972,122,DOT,Gymnosarda unicolor,Dogtooth tuna
1973,144,DOT,Gymnosarda unicolor,Dogtooth tuna
1974,150,DOT,Gymnosarda unicolor,Dogtooth tuna
1975,142,DOT,Gymnosarda unicolor,Dogtooth tuna
1976,227,DOT,Gymnosarda unicolor,Dogtooth tuna
1977,274,DOT,Gymnosarda unicolor,Dogtooth tuna
1978,527,DOT,Gymnosarda unicolor,Dogtooth tuna
1979,314,DOT,Gymnosarda unicolor,Dogtooth tuna
1980,389,DOT,Gymnosarda unicolor,Dogtooth tuna
1981,540,DOT,Gymnosarda unicolor,Dogtooth tuna
1982,634,DOT,Gymnosarda unicolor,Dogtooth tuna
1983,466,DOT,Gymnosarda unicolor,Dogtooth tuna
1984,504,DOT,Gymnosarda unicolor,Dogtooth tuna
1985,310,DOT,Gymnosarda unicolor,Dogtooth tuna
1986,288,DOT,Gymnosarda unicolor,Dogtooth tuna
1987,665,DOT,Gymnosarda unicolor,Dogtooth tuna
1988,271,DOT,Gymnosarda unicolor,Dogtooth tuna
1989,311,DOT,Gymnosarda unicolor,Dogtooth tuna
1990,452,DOT,Gymnosarda unicolor,Dogtooth tuna
1991,421,DOT,Gymnosarda unicolor,Dogtooth tuna
1992,507,DOT,Gymnosarda unicolor,Dogtooth tuna
1993,890,DOT,Gymnosarda unicolor,Dogtooth tuna
1994,673,DOT,Gymnosarda unicolor,Dogtooth tuna
1995,730,DOT,Gymnosarda unicolor,Dogtooth tuna
1996,958,DOT,Gymnosarda unicolor,Dogtooth tuna
1997,840,DOT,Gymnosarda unicolor,Dogtooth tuna
1998,899,DOT,Gymnosarda unicolor,Dogtooth tuna
1999,881,DOT,Gymnosarda unicolor,Dogtooth tuna
2000,1253,DOT,Gymnosarda unicolor,Dogtooth tuna
2001,1483,DOT,Gymnosarda unicolor,Dogtooth tuna
2002,1451,DOT,Gymnosarda unicolor,Dogtooth tuna
2003,1449,DOT,Gymnosarda unicolor,Dogtooth tuna
2004,1453,DOT,Gymnosarda unicolor,Dogtooth tuna
2005,1584,DOT,Gymnosarda unicolor,Dogtooth tuna
2006,1522,DOT,Gymnosarda unicolor,Dogtooth tuna
2007,1663,DOT,Gymnosarda unicolor,Dogtooth tuna
2008,1734,DOT,Gymnosarda unicolor,Dogtooth tuna
2009,1969,DOT,Gymnosarda unicolor,Dogtooth tuna
2010,2042,DOT,Gymnosarda unicolor,Dogtooth tuna
2011,2252,DOT,Gymnosarda unicolor,Dogtooth tuna
2012,1638,DOT,Gymnosarda unicolor,Dogtooth tuna
2013,1716,DOT,Gymnosarda unicolor,Dogtooth tuna
2014,1511,DOT,Gymnosarda unicolor,Dogtooth tuna
2015,1485,DOT,Gymnosarda unicolor,Dogtooth tuna
2016,1383,DOT,Gymnosarda unicolor,Dogtooth tuna
2017,1390,DOT,Gymnosarda unicolor,Dogtooth tuna
2018,1133,DOT,Gymnosarda unicolor,Dogtooth tuna
1950,0,FRI,Auxis thazard,Frigate tuna
1951,0,FRI,Auxis thazard,Frigate tuna
1952,0,FRI,Auxis thazard,Frigate tuna
1953,0,FRI,Auxis thazard,Frigate tuna
1954,0,FRI,Auxis thazard,Frigate tuna
1955,0,FRI,Auxis thazard,Frigate tuna
1956,0,FRI,Auxis thazard,Frigate tuna
1957,0,FRI,Auxis thazard,Frigate tuna
1958,0,FRI,Auxis thazard,Frigate tuna
1959,0,FRI,Auxis thazard,Frigate tuna
1960,0,FRI,Auxis thazard,Frigate tuna
1961,0,FRI,Auxis thazard,Frigate tuna
1962,0,FRI,Auxis thazard,Frigate tuna
1963,0,FRI,Auxis thazard,Frigate tuna
1964,0,FRI,Auxis thazard,Frigate tuna
1965,0,FRI,Auxis thazard,Frigate tuna
1966,0,FRI,Auxis thazard,Frigate tuna
1967,0,FRI,Auxis thazard,Frigate tuna
1968,0,FRI,Auxis thazard,Frigate tuna
1969,0,FRI,Auxis thazard,Frigate tuna
1970,0,FRI,Auxis thazard,Frigate tuna
1971,0,FRI,Auxis thazard,Frigate tuna
1972,0,FRI,Auxis thazard,Frigate tuna
1973,0,FRI,Auxis thazard,Frigate tuna
1974,0,FRI,Auxis thazard,Frigate tuna
1975,0,FRI,Auxis thazard,Frigate tuna
1976,0,FRI,Auxis thazard,Frigate tuna
1977,0,FRI,Auxis thazard,Frigate tuna
1978,0,FRI,Auxis thazard,Frigate tuna
1979,0,FRI,Auxis thazard,Frigate tuna
1980,0,FRI,Auxis thazard,Frigate tuna
1981,0,FRI,Auxis thazard,Frigate tuna
1982,0,FRI,Auxis thazard,Frigate tuna
1983,0,FRI,Auxis thazard,Frigate tuna
1984,0,FRI,Auxis thazard,Frigate tuna
1985,0,FRI,Auxis thazard,Frigate tuna
1986,0,FRI,Auxis thazard,Frigate tuna
1987,0,FRI,Auxis thazard,Frigate tuna
1988,0,FRI,Auxis thazard,Frigate tuna
1989,0,FRI,Auxis thazard,Frigate tuna
1990,0,FRI,Auxis thazard,Frigate tuna
1991,243,FRI,Auxis thazard,Frigate tuna
1992,57,FRI,Auxis thazard,Frigate tuna
1993,118,FRI,Auxis thazard,Frigate tuna
1994,341,FRI,Auxis thazard,Frigate tuna
1995,327,FRI,Auxis thazard,Frigate tuna
1996,830,FRI,Auxis thazard,Frigate tuna
1997,1248,FRI,Auxis thazard,Frigate tuna
1998,1030,FRI,Auxis thazard,Frigate tuna
1999,1159,FRI,Auxis thazard,Frigate tuna
2000,1122,FRI,Auxis thazard,Frigate tuna
2001,989,FRI,Auxis thazard,Frigate tuna
2002,710,FRI,Auxis thazard,Frigate tuna
2003,505,FRI,Auxis thazard,Frigate tuna
2004,15838,FRI,Auxis thazard,Frigate tuna
2005,89261,FRI,Auxis thazard,Frigate tuna
2006,82713,FRI,Auxis thazard,Frigate tuna
2007,93164,FRI,Auxis thazard,Frigate tuna
2008,81216,FRI,Auxis thazard,Frigate tuna
2009,100055,FRI,Auxis thazard,Frigate tuna
2010,82546,FRI,Auxis thazard,Frigate tuna
2011,81531,FRI,Auxis thazard,Frigate tuna
2012,89439,FRI,Auxis thazard,Frigate tuna
2013,125491,FRI,Auxis thazard,Frigate tuna
2014,161887,FRI,Auxis thazard,Frigate tuna
2015,137281,FRI,Auxis thazard,Frigate tuna
2016,112509,FRI,Auxis thazard,Frigate tuna
2017,115568,FRI,Auxis thazard,Frigate tuna
2018,121954,FRI,Auxis thazard,Frigate tuna
1950,15,BLT,Auxis rochei,Bullet tuna
1951,15,BLT,Auxis rochei,Bullet tuna
1952,15,BLT,Auxis rochei,Bullet tuna
1953,23,BLT,Auxis rochei,Bullet tuna
1954,23,BLT,Auxis rochei,Bullet tuna
1955,24,BLT,Auxis rochei,Bullet tuna
1956,23,BLT,Auxis rochei,Bullet tuna
1957,58,BLT,Auxis rochei,Bullet tuna
1958,29,BLT,Auxis rochei,Bullet tuna
1959,29,BLT,Auxis rochei,Bullet tuna
1960,35,BLT,Auxis rochei,Bullet tuna
1961,32,BLT,Auxis rochei,Bullet tuna
1962,50,BLT,Auxis rochei,Bullet tuna
1963,74,BLT,Auxis rochei,Bullet tuna
1964,103,BLT,Auxis rochei,Bullet tuna
1965,112,BLT,Auxis rochei,Bullet tuna
1966,149,BLT,Auxis rochei,Bullet tuna
1967,145,BLT,Auxis rochei,Bullet tuna
1968,145,BLT,Auxis rochei,Bullet tuna
1969,131,BLT,Auxis rochei,Bullet tuna
1970,119,BLT,Auxis rochei,Bullet tuna
1971,97,BLT,Auxis rochei,Bullet tuna
1972,116,BLT,Auxis rochei,Bullet tuna
1973,91,BLT,Auxis rochei,Bullet tuna
1974,125,BLT,Auxis rochei,Bullet tuna
1975,138,BLT,Auxis rochei,Bullet tuna
1976,130,BLT,Auxis rochei,Bullet tuna
1977,116,BLT,Auxis rochei,Bullet tuna
1978,67,BLT,Auxis rochei,Bullet tuna
1979,117,BLT,Auxis rochei,Bullet tuna
1980,54,BLT,Auxis rochei,Bullet tuna
1981,83,BLT,Auxis rochei,Bullet tuna
1982,103,BLT,Auxis rochei,Bullet tuna
1983,35,BLT,Auxis rochei,Bullet tuna
1984,38,BLT,Auxis rochei,Bullet tuna
1985,63,BLT,Auxis rochei,Bullet tuna
1986,132,BLT,Auxis rochei,Bullet tuna
1987,0,BLT,Auxis rochei,Bullet tuna
1988,0,BLT,Auxis rochei,Bullet tuna
1989,0,BLT,Auxis rochei,Bullet tuna
1990,0,BLT,Auxis rochei,Bullet tuna
1991,0,BLT,Auxis rochei,Bullet tuna
1992,0,BLT,Auxis rochei,Bullet tuna
1993,0,BLT,Auxis rochei,Bullet tuna
1994,0,BLT,Auxis rochei,Bullet tuna
1995,0,BLT,Auxis rochei,Bullet tuna
1996,0,BLT,Auxis rochei,Bullet tuna
1997,0,BLT,Auxis rochei,Bullet tuna
1998,0,BLT,Auxis rochei,Bullet tuna
1999,1,BLT,Auxis rochei,Bullet tuna
2000,1,BLT,Auxis rochei,Bullet tuna
2001,1,BLT,Auxis rochei,Bullet tuna
2002,1,BLT,Auxis rochei,Bullet tuna
2003,1,BLT,Auxis rochei,Bullet tuna
2004,1,BLT,Auxis rochei,Bullet tuna
2005,9,BLT,Auxis rochei,Bullet tuna
2006,15,BLT,Auxis rochei,Bullet tuna
2007,362,BLT,Auxis rochei,Bullet tuna
2008,583,BLT,Auxis rochei,Bullet tuna
2009,461,BLT,Auxis rochei,Bullet tuna
2010,192,BLT,Auxis rochei,Bullet tuna
2011,1232,BLT,Auxis rochei,Bullet tuna
2012,2592,BLT,Auxis rochei,Bullet tuna
2013,9106,BLT,Auxis rochei,Bullet tuna
2014,17072,BLT,Auxis rochei,Bullet tuna
2015,22815,BLT,Auxis rochei,Bullet tuna
2016,26903,BLT,Auxis rochei,Bullet tuna
2017,21013,BLT,Auxis rochei,Bullet tuna
2018,29389,BLT,Auxis rochei,Bullet tuna
1950,23071,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1951,31431,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1952,34663,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1953,35200,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1954,42646,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1955,48765,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1956,44742,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1957,41230,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1958,49488,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1959,42407,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1960,36934,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1961,34512,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1962,34729,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1963,61947,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1964,39998,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1965,45862,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1966,45585,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1967,56308,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1968,50757,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1969,48595,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1970,62385,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1971,57806,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1972,75131,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1973,81065,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1974,79332,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1975,67314,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1976,73378,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1977,119466,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1978,89478,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1979,127196,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1980,159262,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1981,126437,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1982,130634,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1983,129941,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1984,147500,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1985,166025,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1986,158553,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1987,189241,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1988,205733,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1989,211450,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1990,185808,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1991,193328,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1992,227484,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1993,213743,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1994,226274,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1995,208812,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1996,207542,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1997,239921,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1998,225504,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1999,284494,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2000,244309,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2001,246698,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2002,303266,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2003,312260,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2004,338173,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2005,297774,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2006,301893,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2007,361029,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2008,319836,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2009,337552,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2010,362591,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2011,341982,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2012,362392,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2013,326309,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2014,340873,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2015,357963,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2016,340392.69,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2017,340500.12,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
2018,327945,FRZ,"Auxis thazard, A. rochei",Frigate and bullet tunas
1950,165416,SKJ,Katsuwonus pelamis,Skipjack tuna
1951,184843,SKJ,Katsuwonus pelamis,Skipjack tuna
1952,155576,SKJ,Katsuwonus pelamis,Skipjack tuna
1953,162655,SKJ,Katsuwonus pelamis,Skipjack tuna
1954,209027,SKJ,Katsuwonus pelamis,Skipjack tuna
1955,187503,SKJ,Katsuwonus pelamis,Skipjack tuna
1956,200167,SKJ,Katsuwonus pelamis,Skipjack tuna
1957,189966,SKJ,Katsuwonus pelamis,Skipjack tuna
1958,260573,SKJ,Katsuwonus pelamis,Skipjack tuna
1959,293344,SKJ,Katsuwonus pelamis,Skipjack tuna
1960,177738,SKJ,Katsuwonus pelamis,Skipjack tuna
1961,249285,SKJ,Katsuwonus pelamis,Skipjack tuna
1962,287919,SKJ,Katsuwonus pelamis,Skipjack tuna
1963,245617,SKJ,Katsuwonus pelamis,Skipjack tuna
1964,275463,SKJ,Katsuwonus pelamis,Skipjack tuna
1965,274486,SKJ,Katsuwonus pelamis,Skipjack tuna
1966,351922,SKJ,Katsuwonus pelamis,Skipjack tuna
1967,352052,SKJ,Katsuwonus pelamis,Skipjack tuna
1968,321005,SKJ,Katsuwonus pelamis,Skipjack tuna
1969,325401,SKJ,Katsuwonus pelamis,Skipjack tuna
1970,402166,SKJ,Katsuwonus pelamis,Skipjack tuna
1971,463902,SKJ,Katsuwonus pelamis,Skipjack tuna
1972,456202,SKJ,Katsuwonus pelamis,Skipjack tuna
1973,567120,SKJ,Katsuwonus pelamis,Skipjack tuna
1974,690137,SKJ,Katsuwonus pelamis,Skipjack tuna
1975,570686,SKJ,Katsuwonus pelamis,Skipjack tuna
1976,674208,SKJ,Katsuwonus pelamis,Skipjack tuna
1977,666912,SKJ,Katsuwonus pelamis,Skipjack tuna
1978,840984,SKJ,Katsuwonus pelamis,Skipjack tuna
1979,735971,SKJ,Katsuwonus pelamis,Skipjack tuna
1980,792749,SKJ,Katsuwonus pelamis,Skipjack tuna
1981,759895,SKJ,Katsuwonus pelamis,Skipjack tuna
1982,788130,SKJ,Katsuwonus pelamis,Skipjack tuna
1983,900861,SKJ,Katsuwonus pelamis,Skipjack tuna
1984,1049271,SKJ,Katsuwonus pelamis,Skipjack tuna
1985,905326,SKJ,Katsuwonus pelamis,Skipjack tuna
1986,1077602,SKJ,Katsuwonus pelamis,Skipjack tuna
1987,1023622,SKJ,Katsuwonus pelamis,Skipjack tuna
1988,1251347,SKJ,Katsuwonus pelamis,Skipjack tuna
1989,1224620,SKJ,Katsuwonus pelamis,Skipjack tuna
1990,1290376,SKJ,Katsuwonus pelamis,Skipjack tuna
1991,1575170,SKJ,Katsuwonus pelamis,Skipjack tuna
1992,1421306,SKJ,Katsuwonus pelamis,Skipjack tuna
1993,1460988,SKJ,Katsuwonus pelamis,Skipjack tuna
1994,1538382,SKJ,Katsuwonus pelamis,Skipjack tuna
1995,1623243,SKJ,Katsuwonus pelamis,Skipjack tuna
1996,1630136,SKJ,Katsuwonus pelamis,Skipjack tuna
1997,1572990,SKJ,Katsuwonus pelamis,Skipjack tuna
